ccaa,fecha,casos,ia,uci,muertes,hospitalizados,curados,nuevos
Andalucía,2020-03-02,12,,,,,,
Andalucía,2020-03-03,13,0.15,,,,,1
Andalucía,2020-03-04,13,0.15,1,,,,0
Andalucía,2020-03-05,12,0.14,1,0,,,-1
Andalucía,2020-03-06,21,0.25,1,0,,,9
Andalucía,2020-03-07,,,,,,,
Andalucía,2020-03-08,,,,,,,
Andalucía,2020-03-09,54,0.64,1,0,,,33
Andalucía,2020-03-10,71,0.84,1,0,,,17
Andalucía,2020-03-11,90,1.07,3,0,,,19
Andalucía,2020-03-12,115,1.35,4,0,,,25
Andalucía,2020-03-13,219,2.53,8,0,,,104
Andalucía,2020-03-14,269,3.83,9,2,,,50
Andalucía,2020-03-15,437,5.14,10,6,,,168
Andalucía,2020-03-16,554,6.44,11,7,,,117
Andalucía,2020-03-17,683,7.97,13,11,,,129
Andalucía,2020-03-18,859,10.07,21,19,,,176
Andalucía,2020-03-19,1008,11.84,25,23,,,149
Andalucía,2020-03-20,1287,15.05,38,30,,,279
Andalucía,2020-03-21,1515,17.68,53,40,605,,228
Andalucía,2020-03-22,1725,20.1,55,47,724,,210
Andalucía,2020-03-23,1961,22.66,77,58,865,50,236
Andalucía,2020-03-24,2471,28.52,102,87,1132,66,510
Andalucía,2020-03-25,3010,34.57,116,113,1433,71,539
Andalucía,2020-03-26,3406,38.96,134,134,1626,77,396
Andalucía,2020-03-27,3793,42.48,148,144,1843,92,387
Andalucía,2020-03-28,4277,47.63,172,175,2106,139,484
Andalucía,2020-03-29,4682,50.45,201,207,2294,148,405
Andalucía,2020-03-30,5405,57.65,216,236,2671,155,723
Andalucía,2020-03-31,5818,61.03,235,248,2867,160,413
Andalucía,2020-04-01,6392,65.76,260,308,3147,182,574
Aragón,2020-03-02,0,,,,,,
Aragón,2020-03-03,0,0,,,,,0
Aragón,2020-03-04,0,0,,,,,0
Aragón,2020-03-05,1,0.08,1,0,,,1
Aragón,2020-03-06,6,0.45,1,1,,,5
Aragón,2020-03-07,,,,,,,
Aragón,2020-03-08,,,,,,,
Aragón,2020-03-09,13,0.99,1,1,,,7
Aragón,2020-03-10,38,2.88,3,3,,,25
Aragón,2020-03-11,45,3.41,3,4,,,7
Aragón,2020-03-12,64,4.85,3,6,,,19
Aragón,2020-03-13,80,6.06,3,7,,,16
Aragón,2020-03-14,80,8.44,4,7,,,0
Aragón,2020-03-15,147,10.81,6,7,,,67
Aragón,2020-03-16,174,13.19,7,11,,,27
Aragón,2020-03-17,207,15.69,9,12,,,33
Aragón,2020-03-18,226,17.13,9,13,,,19
Aragón,2020-03-19,281,21.22,14,15,,,55
Aragón,2020-03-20,360,26.83,28,17,,,79
Aragón,2020-03-21,424,31.3,33,22,192,,64
Aragón,2020-03-22,532,39.49,45,24,241,,108
Aragón,2020-03-23,638,47.37,52,32,298,3,106
Aragón,2020-03-24,758,54.57,66,37,384,3,120
Aragón,2020-03-25,907,65.09,75,40,459,4,149
Aragón,2020-03-26,1116,79.43,93,48,562,4,209
Aragón,2020-03-27,1338,95.35,114,58,693,8,222
Aragón,2020-03-28,1592,111.5,124,58,835,8,254
Aragón,2020-03-29,1858,129.69,124,93,835,8,266
Aragón,2020-03-30,2078,144.32,156,106,1094,174,220
Aragón,2020-03-31,2272,156.52,165,138,1176,204,194
Aragón,2020-04-01,2491,171.68,168,169,1234,257,219
Asturias,2020-03-02,1,,,,,,
Asturias,2020-03-03,1,0.1,,,,,0
Asturias,2020-03-04,2,0.2,1,,,,1
Asturias,2020-03-05,5,0.49,2,0,,,3
Asturias,2020-03-06,5,0.49,2,0,,,0
Asturias,2020-03-07,,,,,,,
Asturias,2020-03-08,,,,,,,
Asturias,2020-03-09,7,0.68,2,0,,,2
Asturias,2020-03-10,22,2.15,2,0,,,15
Asturias,2020-03-11,32,3.13,2,0,,,10
Asturias,2020-03-12,47,4.6,2,1,,,15
Asturias,2020-03-13,67,6.55,2,1,,,20
Asturias,2020-03-14,92,10.1,2,1,,,25
Asturias,2020-03-15,137,13.66,3,1,,,45
Asturias,2020-03-16,177,17.21,3,1,,,40
Asturias,2020-03-17,193,18.77,5,1,,,16
Asturias,2020-03-18,242,23.46,5,1,,,49
Asturias,2020-03-19,292,28.06,6,1,,,50
Asturias,2020-03-20,344,33.14,7,2,,,52
Asturias,2020-03-21,486,47.03,12,5,133,,142
Asturias,2020-03-22,545,52.6,15,8,171,,59
Asturias,2020-03-23,594,57.39,22,12,194,21,49
Asturias,2020-03-24,662,62.57,23,22,224,30,68
Asturias,2020-03-25,779,73.24,29,25,263,35,117
Asturias,2020-03-26,841,77.84,34,27,300,40,62
Asturias,2020-03-27,900,81.44,47,29,339,52,59
Asturias,2020-03-28,1004,89.17,50,33,408,65,104
Asturias,2020-03-29,1088,92.98,57,41,466,76,84
Asturias,2020-03-30,1158,95.91,60,49,479,78,70
Asturias,2020-03-31,1236,101.97,65,55,529,90,78
Asturias,2020-04-01,1322,105.59,76,63,590,109,86
Baleares,2020-03-02,2,,,,,,
Baleares,2020-03-03,2,0.17,,,,,0
Baleares,2020-03-04,5,0.43,,,,,3
Baleares,2020-03-05,6,0.52,0,0,,,1
Baleares,2020-03-06,6,0.52,0,0,,,0
Baleares,2020-03-07,,,,,,,
Baleares,2020-03-08,,,,,,,
Baleares,2020-03-09,11,0.96,0,0,,,5
Baleares,2020-03-10,13,1.13,1,0,,,2
Baleares,2020-03-11,16,1.39,1,0,,,3
Baleares,2020-03-12,22,1.83,2,1,,,6
Baleares,2020-03-13,30,2.52,2,1,,,8
Baleares,2020-03-14,28,3.74,3,1,,,-2
Baleares,2020-03-15,28,4.96,3,1,,,0
Baleares,2020-03-16,73,6.18,4,1,,,45
Baleares,2020-03-17,92,7.83,4,1,,,19
Baleares,2020-03-18,112,9.31,4,1,,,20
Baleares,2020-03-19,169,14.18,7,2,,,57
Baleares,2020-03-20,203,17.14,10,2,,,34
Baleares,2020-03-21,246,20.88,14,4,60,,43
Baleares,2020-03-22,331,28.1,14,4,79,,85
Baleares,2020-03-23,400,33.84,27,10,87,18,69
Baleares,2020-03-24,478,40.45,35,10,127,19,78
Baleares,2020-03-25,562,45.55,40,13,164,28,84
Baleares,2020-03-26,660,53.23,43,17,205,39,98
Baleares,2020-03-27,755,63.25,46,22,237,67,95
Baleares,2020-03-28,862,72.56,59,26,283,80,107
Baleares,2020-03-29,958,79.69,71,29,345,82,96
Baleares,2020-03-30,1000,80.65,80,37,353,100,42
Baleares,2020-03-31,1069,85,85,42,399,111,69
Baleares,2020-04-01,1131,88.65,95,46,468,170,62
CValenciana,2020-03-02,15,,,,,,
CValenciana,2020-03-03,15,0.3,,,,,0
CValenciana,2020-03-04,19,0.38,,,,,4
CValenciana,2020-03-05,19,0.38,0,1,,,0
CValenciana,2020-03-06,30,0.6,1,1,,,11
CValenciana,2020-03-07,,,,,,,
CValenciana,2020-03-08,,,,,,,
CValenciana,2020-03-09,37,0.74,1,1,,,7
CValenciana,2020-03-10,50,1,1,1,,,13
CValenciana,2020-03-11,65,1.28,1,1,,,15
CValenciana,2020-03-12,76,1.48,2,1,,,11
CValenciana,2020-03-13,94,1.72,2,1,,,18
CValenciana,2020-03-14,130,3.77,3,4,,,36
CValenciana,2020-03-15,409,5.82,3,5,,,279
CValenciana,2020-03-16,409,7.87,4,5,,,0
CValenciana,2020-03-17,541,10.51,27,13,,,132
CValenciana,2020-03-18,726,14.13,40,22,,,185
CValenciana,2020-03-19,921,18.03,52,24,,,195
CValenciana,2020-03-20,1105,21.48,71,33,,,184
CValenciana,2020-03-21,1363,26.64,84,50,476,,258
CValenciana,2020-03-22,1604,31.32,113,69,590,,241
CValenciana,2020-03-23,1901,37.25,138,94,702,36,297
CValenciana,2020-03-24,2167,42.31,161,115,917,37,266
CValenciana,2020-03-25,2616,51.03,198,143,1071,44,449
CValenciana,2020-03-26,3200,62.5,230,167,1278,57,584
CValenciana,2020-03-27,3532,68.71,252,198,1422,73,332
CValenciana,2020-03-28,4034,78.02,282,234,1694,92,502
CValenciana,2020-03-29,4784,87.43,309,267,1874,161,750
CValenciana,2020-03-30,5110,93.95,336,310,2042,185,326
CValenciana,2020-03-31,5508,99.27,356,339,2189,200,398
CValenciana,2020-04-01,5922,103.84,365,395,2189,240,414
Canarias,2020-03-02,7,,,,,,
Canarias,2020-03-03,7,0.33,,,,,0
Canarias,2020-03-04,7,0.33,,,,,0
Canarias,2020-03-05,8,0.37,0,0,,,1
Canarias,2020-03-06,11,0.51,0,0,,,3
Canarias,2020-03-07,,,,,,,
Canarias,2020-03-08,,,,,,,
Canarias,2020-03-09,22,1.02,0,0,,,11
Canarias,2020-03-10,25,1.16,1,0,,,3
Canarias,2020-03-11,37,1.49,1,0,,,12
Canarias,2020-03-12,51,2.09,3,0,,,14
Canarias,2020-03-13,70,2.97,2,0,,,19
Canarias,2020-03-14,90,3.71,4,1,,,20
Canarias,2020-03-15,109,4.46,7,1,,,19
Canarias,2020-03-16,119,5.2,9,1,,,10
Canarias,2020-03-17,148,6.55,13,2,,,29
Canarias,2020-03-18,181,8.08,17,3,,,33
Canarias,2020-03-19,220,9.84,23,3,,,39
Canarias,2020-03-20,287,12.82,25,4,,,67
Canarias,2020-03-21,348,15.65,29,7,139,,61
