,date,states,positive,negative,pending,hospitalizedcurrently,hospitalizedcumulative,inicucurrently,inicucumulative,onventilatorcurrently,onventilatorcumulative,recovered,datechecked,death,hospitalized,lastmodified,total,totaltestresults,posneg,deathincrease,hospitalizedincrease,negativeincrease,positiveincrease,totaltestresultsincrease,hash
0,2020-07-29,56,4394906,49430539,3840.0,57306.0,302057.0,10531.0,13744.0,2776.0,1400.0,1389425.0,2020-07-29T00:00:00Z,142848.0,302057.0,2020-07-29T00:00:00Z,53829285,53825445,53825445,1418,2913,773657,66211,839868,a2e1d4a308f87fa1c4938a8f20bc81a26295b8e7
1,2020-07-28,56,4328695,48656882,3600.0,57091.0,299144.0,10463.0,13559.0,2752.0,1372.0,1355363.0,2020-07-28T00:00:00Z,141430.0,299144.0,2020-07-28T00:00:00Z,52989177,52985577,52985577,1121,4672,679736,53507,733243,10729af9f291bbb18e37d56f0bc31ff802f09672
2,2020-07-27,56,4275188,47977146,3398.0,59023.0,294472.0,10328.0,13412.0,2720.0,1356.0,1325804.0,2020-07-27T00:00:00Z,140309.0,294472.0,2020-07-27T00:00:00Z,52255732,52252334,52252334,1059,1690,705706,55134,760840,021bea33ea5ddba5408c2a928ad900ae036a25dc
3,2020-07-26,56,4220054,47271440,3361.0,58614.0,292782.0,10353.0,13343.0,2723.0,1336.0,1297863.0,2020-07-26T00:00:00Z,139250.0,292782.0,2020-07-26T00:00:00Z,51494855,51491494,51491494,558,1435,794098,61713,855811,820426c4c5479c7a0f8974e68aa7016f2082a93e
4,2020-07-25,56,4158341,46477342,3377.0,59227.0,291347.0,10380.0,13279.0,2729.0,1300.0,1279414.0,2020-07-25T00:00:00Z,138692.0,291347.0,2020-07-25T00:00:00Z,50639060,50635683,50635683,1037,1992,732176,65413,797589,ea28b353271e8d21ff5f3b189169c0d974de8b29
5,2020-07-24,56,4092928,45745166,3409.0,59670.0,289355.0,10405.0,13182.0,2712.0,1297.0,1261624.0,2020-07-24T00:00:00Z,137655.0,289355.0,2020-07-24T00:00:00Z,49841503,49838094,49838094,1178,3026,854645,75193,929838,5a28d1fb68592ad25bd4746557e1f68250423dea
6,2020-07-23,56,4017735,44890521,3179.0,59885.0,286329.0,10418.0,12933.0,2472.0,1280.0,1233269.0,2020-07-23T00:00:00Z,136477.0,286329.0,2020-07-23T00:00:00Z,48911435,48908256,48908256,1039,2500,753372,71027,824399,1d8eb95c208f9afdd53bc9946b37be590b17a635
7,2020-07-22,56,3946708,44137149,3051.0,59675.0,283829.0,10457.0,12790.0,2440.0,1258.0,1210849.0,2020-07-22T00:00:00Z,135438.0,283829.0,2020-07-22T00:00:00Z,48086908,48083857,48083857,1117,2248,726352,69150,795502,c28c2ce1af7dcb4a6dfc783c222acb7387b19277
8,2020-07-21,56,3877558,43410797,3197.0,59362.0,281581.0,6711.0,12629.0,2414.0,1242.0,1182931.0,2020-07-21T00:00:00Z,134321.0,281581.0,2020-07-21T00:00:00Z,47291552,47288355,47288355,1038,2551,686606,63642,750248,b315275d3d2251da5af96422594a53d6d0508aad
9,2020-07-20,56,3813916,42724191,3003.0,58371.0,279030.0,6558.0,12475.0,2403.0,1223.0,1160087.0,2020-07-20T00:00:00Z,133283.0,279030.0,2020-07-20T00:00:00Z,46541110,46538107,46538107,362,1647,654044,56971,711015,6223e4e1a7003f68d8bd1f30742ea4d8e283b834
10,2020-07-19,56,3756945,42070147,3052.0,57885.0,277383.0,6384.0,12393.0,2362.0,1216.0,1131171.0,2020-07-19T00:00:00Z,132921.0,277383.0,2020-07-19T00:00:00Z,45830144,45827092,45827092,526,944,733624,64884,798508,1499d2e73cb541b93e54d866237647b154d79450
11,2020-07-18,56,3692061,41336523,3032.0,57645.0,276439.0,6396.0,12342.0,2343.0,1211.0,1122720.0,2020-07-18T00:00:00Z,132395.0,276439.0,2020-07-18T00:00:00Z,45031616,45028584,45028584,872,2003,696452,65180,761632,289cc193d3592f21659da868ca7c2c853e737474
12,2020-07-17,56,3626881,40640071,3002.0,57761.0,274436.0,6453.0,12243.0,2353.0,1200.0,1106844.0,2020-07-17T00:00:00Z,131523.0,274436.0,2020-07-17T00:00:00Z,44269954,44266952,44266952,951,2678,760159,77233,837392,79012ed297c137312e1eec66f88514e0eea0b96a
13,2020-07-16,56,3549648,39879912,2929.0,57442.0,271758.0,6359.0,12091.0,2317.0,1175.0,1090645.0,2020-07-16T00:00:00Z,130572.0,271758.0,2020-07-16T00:00:00Z,43432489,43429560,43429560,974,2215,756611,70953,827564,0e32aba19ddfcd0d0b35661f5b01e5820789af60
14,2020-07-15,56,3478695,39123301,2947.0,56144.0,269543.0,6317.0,12002.0,2317.0,1166.0,1075882.0,2020-07-15T00:00:00Z,129598.0,269543.0,2020-07-15T00:00:00Z,42604943,42601996,42601996,858,2416,696615,65382,761997,5af1b31d4fa8496e1130b69f4a55607578d379a5
15,2020-07-14,56,3413313,38426686,960.0,55565.0,267127.0,6235.0,11857.0,2263.0,1154.0,1049098.0,2020-07-14T00:00:00Z,128740.0,267127.0,2020-07-14T00:00:00Z,41840959,41839999,41839999,736,2262,707103,62879,769982,6d933647c35df987255ff6dec892d08d64fc078b
16,2020-07-13,56,3350434,37719583,2610.0,53988.0,264865.0,6074.0,11749.0,2259.0,1142.0,1031939.0,2020-07-13T00:00:00Z,128004.0,264865.0,2020-07-13T00:00:00Z,41072627,41070017,41070017,327,1214,635111,58465,693576,8005d7fa1de9121885e9ae0e5fad89c8bff696a5
17,2020-07-12,56,3291969,37084472,2639.0,52727.0,263651.0,5930.0,11679.0,2182.0,1136.0,1006326.0,2020-07-12T00:00:00Z,127677.0,263651.0,2020-07-12T00:00:00Z,40379080,40376441,40376441,476,939,697346,60978,758324,76fc1c6c482f104eb8f4ad40cd04185bb1ee7061
18,2020-07-11,56,3230991,36387126,2618.0,51859.0,262712.0,5939.0,11612.0,2169.0,1128.0,995576.0,2020-07-11T00:00:00Z,127201.0,262712.0,2020-07-11T00:00:00Z,39620735,39618117,39618117,757,5141,635437,63007,698444,c01d2eef35d92ed71ecd939b2cd4ea983752f315
